crawl_rank,novel_url,novel_id,rank_number,author,title,genre,view_count,view_count_number,rank_change,rank_change_number,reading_rate,reading_rate_number
89,https://novel.munpia.com/477614,477614,89,겸업백작,천재 과학자가 공룡으로 돈복사함,현대판타지,328,328,-46,-46,75.49%,75.49
90,https://novel.munpia.com/482750,482750,90,달꿀,돈 쓸어담는 2회차 방산천재의 K-인더스트리,현대판타지,326,326,6,6,67.41%,67.41
91,https://novel.munpia.com/485683,485683,91,류송,돈 버는 능력이 자꾸 생긴다,"현대판타지, 퓨전",317,317,4,4,-,
92,https://novel.munpia.com/485087,485087,92,꿈가득남,나는 돈을 벌고 행복을 산다,"현대판타지, 판타지",313,313,6,6,60.20%,60.2
93,https://novel.munpia.com/475946,475946,93,파라모르템,800억 있어도 출근하는 강 대리,현대판타지,312,312,4,4,19.72%,19.72
94,https://novel.munpia.com/483122,483122,94,시윤™,퇴사 후 슬라임을 키웠더니 인생 역전,"현대판타지, 퓨전",301,301,6,6,43.57%,43.57
95,https://novel.munpia.com/484076,484076,95,글럼프,엔터 옮기고 대박 터짐,"현대판타지, 퓨전",298,298,6,6,67.85%,67.85
96,https://novel.munpia.com/475952,475952,96,닥터베르,웹소 작가 이세계 다이어리,"퓨전, 판타지",287,287,9,9,28.80%,28.8
97,https://novel.munpia.com/477156,477156,97,Readoff,방출 당하고 천재 투수가 되었다,"스포츠, 현대판타지",286,286,-57,-57,21.31%,21.31
98,https://novel.munpia.com/476344,476344,98,다물랑,역적이 꿈꾸는 제국,"대체역사, 퓨전",285,285,6,6,53.51%,53.51
99,https://novel.munpia.com/485081,485081,99,제품명,경작수선전(耕作修仙傳),"무협, 판타지",283,283,4,4,-,
100,https://novel.munpia.com/477724,477724,100,페이소,귀농한 아빠는 천재작가,"현대판타지, 퓨전",280,280,2,2,36.83%,36.83
101,https://novel.munpia.com/476855,476855,101,원태훈,헌터가 선협 세상에서 살아남는 법,"무협, 퓨전",278,278,8,8,60.66%,60.66
102,https://novel.munpia.com/477883,477883,102,마지막한자,마공이 너무 쉬움,무협,274,274,4,4,45.08%,45.08
103,https://novel.munpia.com/477950,477950,103,조비본,술만 만들었는데 무림 명가가 되었다,"무협, 대체역사",273,273,5,5,63.77%,63.77
104,https://novel.munpia.com/478259,478259,104,백약지장,1330 고려 망나니가 몽골을 지배함,"대체역사, 판타지",257,257,6,6,59.48%,59.48
105,https://novel.munpia.com/479757,479757,105,수제고구마,초월급 재능 구매로 탑을 공략,판타지,252,252,7,7,55.50%,55.5
106,https://novel.munpia.com/476026,476026,106,yt0709,비선출이 공을 너무 잘 던짐,"스포츠, 퓨전",249,249,5,5,32.64%,32.64
